trial,method,rotation_error_x_deg,translation_error_x,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
38.0,ZNN-CORO,0.45105746500224797,0.011520610569693161,0.45105746500224797,0.011520610569693161,0.00019600274686511245,1.0
38.0,GNN-CORO,2.4840210915820706,0.3909655273117956,2.4840210915820706,0.3909655273117956,0.04336021969788348,1.0
39.0,ZNN-CORO,0.5252619639101621,0.015816931712568393,0.5252619639101621,0.015816931712568393,0.0007738498638417421,1.0
39.0,GNN-CORO,10.956203676193235,0.2682035629682081,10.956203676193235,0.2682035629682081,0.026504547861425143,0.0
40.0,ZNN-CORO,0.5039181429589374,0.00816778767760045,0.5039181429589374,0.00816778767760045,0.0002541246005665837,1.0
40.0,GNN-CORO,5.820556736724516,0.44702644105386885,5.820556736724516,0.44702644105386885,0.05449804321459658,0.0
41.0,ZNN-CORO,0.8238571601066172,0.020539098810460104,0.8238571601066172,0.020539098810460104,0.0006077882078415093,1.0
41.0,GNN-CORO,14.531245295019254,0.2961230325054845,14.531245295019254,0.2961230325054845,0.05383882923384054,0.0
42.0,ZNN-CORO,0.21756355448064277,0.022503068149949238,0.21756355448064277,0.022503068149949238,0.000497641677050079,1.0
42.0,GNN-CORO,5.986585159501264,0.12378739541479235,5.986585159501264,0.12378739541479235,0.016936797908897655,0.0
43.0,ZNN-CORO,0.5798182940503414,0.019284757501248875,0.5798182940503414,0.019284757501248875,0.00032253706134473313,1.0
43.0,GNN-CORO,9.569683307686727,0.3372927872430793,9.569683307686727,0.3372927872430793,0.02997965891446984,0.0
44.0,ZNN-CORO,0.3927046400034917,0.00970852523715821,0.3927046400034917,0.00970852523715821,0.000444577245721626,1.0
44.0,GNN-CORO,10.012020858721554,0.22175951898700413,10.012020858721554,0.22175951898700413,0.05578668612872243,0.0
45.0,ZNN-CORO,0.24930204593086136,0.006021480434598386,0.24930204593086136,0.006021480434598386,0.00040099837710511044,1.0
45.0,GNN-CORO,9.091207714831562,0.2800456518438466,9.091207714831562,0.2800456518438466,0.06153326274838261,0.0
46.0,ZNN-CORO,0.804583054254393,0.01853665865101782,0.804583054254393,0.01853665865101782,0.0003873426725656681,1.0
46.0,GNN-CORO,3.8969007265430613,0.34868099907012334,3.8969007265430613,0.34868099907012334,0.0283426991219576,1.0
47.0,ZNN-CORO,0.4217501598482759,0.004927410022892252,0.4217501598482759,0.004927410022892252,0.0005625927248736357,1.0
47.0,GNN-CORO,15.795964089762544,0.3728391859139916,15.795964089762544,0.3728391859139916,0.09347958878432332,0.0
48.0,ZNN-CORO,0.29745742958432525,0.006281529633047986,0.29745742958432525,0.006281529633047986,0.000221750314383691,1.0
48.0,GNN-CORO,18.184482485209664,0.10312706991597875,18.184482485209664,0.10312706991597875,0.05834444910834741,0.0
49.0,ZNN-CORO,0.5550175674129088,0.008305766481118474,0.5550175674129088,0.008305766481118474,0.000573206147625771,1.0
49.0,GNN-CORO,11.822016233125266,0.24165424297820545,11.822016233125266,0.24165424297820545,0.035845112896372176,0.0
50.0,ZNN-CORO,0.546722628653348,0.009104641268757695,0.546722628653348,0.009104641268757695,0.00014721147496738618,1.0
50.0,GNN-CORO,1.1103150150160606,0.45756342640924147,1.1103150150160606,0.45756342640924147,0.0341320877248026,1.0
51.0,ZNN-CORO,0.3220694109573922,0.008640075914940117,0.3220694109573922,0.008640075914940117,0.00047940506496536606,1.0
51.0,GNN-CORO,12.25647932982429,0.42069654930251765,12.25647932982429,0.42069654930251765,0.07450104354953606,0.0
52.0,ZNN-CORO,0.3347689605361402,0.0027245448550102507,0.3347689605361402,0.0027245448550102507,0.00037286183584010925,1.0
52.0,GNN-CORO,15.23836521341027,0.3384155782961734,15.23836521341027,0.3384155782961734,0.08799076716351717,0.0
53.0,ZNN-CORO,0.19989071341903358,0.005187825994557417,0.19989071341903358,0.005187825994557417,0.0006123767010568839,1.0
53.0,GNN-CORO,10.333831060567952,0.5600471242318107,10.333831060567952,0.5600471242318107,0.10669282352464073,0.0
54.0,ZNN-CORO,0.3649319712924177,0.0059500645399704795,0.3649319712924177,0.0059500645399704795,0.0006320853554384592,1.0
54.0,GNN-CORO,10.019432871734436,0.3039523481294436,10.019432871734436,0.3039523481294436,0.07171068068372795,0.0
55.0,ZNN-CORO,0.5384400171619991,0.033848118973756496,0.5384400171619991,0.033848118973756496,0.0003077458521527287,1.0
55.0,GNN-CORO,18.223369467724,0.2910268939381303,18.223369467724,0.2910268939381303,0.039759908939439335,0.0
56.0,ZNN-CORO,0.6113159093651044,0.01809069286045228,0.6113159093651044,0.01809069286045228,0.0005864876332779814,1.0
56.0,GNN-CORO,16.751732442005096,0.09496761100052939,16.751732442005096,0.09496761100052939,0.039741418540678065,0.0
57.0,ZNN-CORO,0.3005730986492341,0.006713862296068096,0.3005730986492341,0.006713862296068096,0.00025720971774878044,1.0
57.0,GNN-CORO,3.5575108285305848,0.2581297314263102,3.5575108285305848,0.2581297314263102,0.030132460080671695,1.0
58.0,ZNN-CORO,0.3615011856003677,0.004679679793646306,0.3615011856003677,0.004679679793646306,0.00024098022996792558,1.0
58.0,GNN-CORO,6.217386504185896,0.12871818114439146,6.217386504185896,0.12871818114439146,0.021841278769763873,0.0
59.0,ZNN-CORO,0.18536902297333438,0.010675039235666255,0.18536902297333438,0.010675039235666255,0.0002475673240345874,1.0
59.0,GNN-CORO,12.22849350964099,0.25269776554203105,12.22849350964099,0.25269776554203105,0.038038964433950447,0.0
