trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
73.0,GNN-CORO,2.4300411126781802,0.21047235057939398,1.9702969336861857,0.45416972640938763,2.4300411126781802,0.45416972640938763,0.2865778053776345,1.0
74.0,ZNN-CORO,0.6126082864171466,0.008873163580982276,0.62083008706161,0.008820540854563802,0.62083008706161,0.008873163580982276,0.0004104722818992564,1.0
74.0,GNN-CORO,3.69716168090913,0.21493749129190123,4.284861696881622,0.1995511620368684,4.284861696881622,0.21493749129190123,0.0765677287408504,1.0
75.0,ZNN-CORO,0.3904083135918137,0.00539273300023645,0.1105429298326566,0.008707926952821313,0.3904083135918137,0.008707926952821313,0.00025376212351849956,1.0
75.0,GNN-CORO,6.482349513989473,0.11427706114364715,2.505848093545005,0.1713444969835628,6.482349513989473,0.1713444969835628,0.027750853167961942,0.0
76.0,ZNN-CORO,0.19105868004745755,0.002655475603248211,0.2024664150313593,0.007001154362079216,0.2024664150313593,0.007001154362079216,0.0002798670252170485,1.0
76.0,GNN-CORO,2.675646907834948,0.2686158840573992,4.841401157856376,0.23109697368222182,4.841401157856376,0.2686158840573992,0.04890400876105893,1.0
77.0,ZNN-CORO,0.27130059382524613,0.01079103343189019,0.37507222187371836,0.011385945317347919,0.37507222187371836,0.011385945317347919,0.00024274315843601457,1.0
77.0,GNN-CORO,12.63043643083228,0.16949615293636167,10.79557210709832,0.21621575354556993,12.63043643083228,0.21621575354556993,0.1431809455373905,0.0
78.0,ZNN-CORO,0.9491319254849584,0.009279261822241284,1.0222180020468383,0.014169526129640193,1.0222180020468383,0.014169526129640193,0.00020051340731366105,1.0
78.0,GNN-CORO,9.846819693036965,0.1714761840421201,6.9697657890267175,0.49579421637782484,9.846819693036965,0.49579421637782484,0.24459610114587305,0.0
79.0,ZNN-CORO,0.36876467945444846,0.016747225754185722,0.24113449946217866,0.01623714201315393,0.36876467945444846,0.016747225754185722,0.00013550979785584811,1.0
79.0,GNN-CORO,10.410390459967777,0.3206714868817857,4.95115705323093,0.48774838611209,10.410390459967777,0.48774838611209,0.18086551498137018,0.0
80.0,ZNN-CORO,0.49998029146735884,0.01852057631843031,0.5022319754742125,0.02202021964593027,0.5022319754742125,0.02202021964593027,0.00047586415796680315,1.0
80.0,GNN-CORO,3.3754824264837113,0.3068732233464272,1.2763800646352976,0.28599279766112695,3.3754824264837113,0.3068732233464272,0.1594157124338017,1.0
81.0,ZNN-CORO,0.35130194890346095,0.011159325508740726,0.3941368010736143,0.01604961290900477,0.3941368010736143,0.01604961290900477,0.0001870187771138163,1.0
81.0,GNN-CORO,12.05669596748922,0.1560152229063564,6.47209806624967,0.050397621482524704,12.05669596748922,0.1560152229063564,0.09404905140588189,0.0
82.0,ZNN-CORO,0.07252394390950553,0.007502649813431945,0.22190618833267792,0.00414819087330239,0.22190618833267792,0.007502649813431945,0.00030244752787701707,1.0
82.0,GNN-CORO,0.08364453780919656,0.2606908264767507,0.3241957660655812,0.3255154126839392,0.3241957660655812,0.3255154126839392,0.06168277285243331,1.0
83.0,ZNN-CORO,0.7095587330895624,0.03230550782689219,0.5250300619352947,0.026546766740610378,0.7095587330895624,0.03230550782689219,0.0005315464849012696,1.0
83.0,GNN-CORO,12.04416829219345,0.14846489611369756,6.2222879824991955,0.19456102634042596,12.04416829219345,0.19456102634042596,0.09601301755786784,0.0
84.0,ZNN-CORO,0.23521932608622795,0.01986875052173651,0.3950301575828783,0.025620780955503474,0.3950301575828783,0.025620780955503474,0.0004097388729948366,1.0
84.0,GNN-CORO,14.202330239660514,0.3326812722002705,8.187983957747464,0.27316120561180113,14.202330239660514,0.3326812722002705,0.09601647067589246,0.0
